album_id,album_name,album_desc,episode_updated,episode_total,genre,area,year,language,director,actor,score,copyright_start_time,copyright_end_time,definition
996217,同一条江,阿运和小怀是一对年轻的恋人，两人分别住在边海江的两岸，分隔两岸并没有影响到两人的爱情，感情很深厚的他们憧憬着有一天能幸福地生活在一起。但是他们万万没想到在举行婚礼的当天，因为1954年日内瓦协议的军事条款，边海江成了越南北部与南部的临时分界线，两岸的人民被边海江分开了，国家一夜之间变成了两个。南越政府在美国的指使下，封锁了江口，禁止两岸人民往来，阿运和小怀也因此被阻隔，他们都忍受着不能相见的痛苦，为了能到北越与阿运在一起，小怀必须克服种种困难，但幸运的是她得到了乡亲的帮助，最终阿运和小怀这对恋人团聚了。,1,1,剧情片,其他,1959,越南语,范好民;阮鸿仪,飞娥;盖灵,7.5,2019-05-23 00:00:00,2022-04-28 00:00:00,"32,31,21,2,1"
9643013,聊斋志异 电影,《聊斋志异》由三个短篇《狐谐》，《婴宁》及《花姑》组成，构思新颖，堪称开创短篇古装普通话电影的先河。三个故事分别由王植波，榴照及易文三位编剧能手执笔，由导演唐煌总揽其成，各具特色之余，仍不失一气呵成之态，诚属难得。唐菁饰演风流俊逸的书生，周旋于狐妖（白冰），艳鬼（张慧娴）与仙女（陈方）之间，享尽温柔，羡煞旁人。特别值得一提莫愁饰演的反派狐妖，一场色诱唐菁的戏，性感冶艳，令人眼前一亮。,1,1,剧情片;古装片,香港,1965,普通话,唐煌,王莱;莫愁;唐迪;唐菁;刘恩甲;张慧娴,7.8,2020-05-12 00:00:00,2050-05-12 00:00:00,"2,1"
996211,荒野两匹狼,捕猎者乔带着去年冬天所有的兽皮，正在去城里的路上。然而，一伙印第安人拦住了他，把他所有的兽皮都拿走了，把逃走的奴隶约瑟夫留给了他。但乔对约瑟夫毫无用处，他决心要把他的财产拿回来，跟着他们走。他还没来得及做任何事，印第安人就被贪婪的豪伊手下的一群黄牛猎人袭击了。不仅是兽皮，约瑟夫也落入了他们的手中。现在乔一个人跟在他们后面，试图欺骗那些数不清的上级。,1,1,喜剧片,美国,1968,英语,西德尼·波拉克,特利·萨瓦拉斯;谢利·温特斯;伯特·兰卡斯特,7.3,2020-09-17 00:00:00,2050-09-16 00:00:00,"32,31,21,2,1"
996207,开往克拉列沃的列车,1941年8月，德国法西斯侵占了南斯拉夫的国土，英雄的南斯拉夫人民配合武装力量同敌人展开了艰苦卓绝的斗争。 　　火车司机托洛瓦茨平时大大咧咧，爱和女人胡搞，但他也有一颗火热的爱国之心。贝尔格莱德铁路员工党组织考虑到他不为敌人注意，目标小，而路又熟，因此委托他护送负有特殊任务的地下党交通员布莱基前往克拉列沃。不料这一行动被敌人察觉，大批军警包围了火车站......,1,1,战争片,其他,1981,普通话,Aleksandar Djordjevic,留比沙·萨马季奇;Zvonko Lepetic;Sanja Vejnovic,7.5,2019-05-29 00:00:00,2022-04-28 00:00:00,"32,31,21,2,1"
996209,异形再变,丹尼斯在冰天雪地的北极圈，发现了史前时代的大怪物，当它被从雪地挖出来时血液竟然是热的，于是引来科学家的研究。不料一个严重的疏忽，冷藏怪物的大冰库被打开，怪物开始融化、苏醒，也开始屠杀人类，毁灭一切。,1,1,科幻片;恐怖片;动作片,美国,1961,英语,Sidney W. Pink,Asbjorn Andersen;Bent Mejding,7.2,2019-05-28 00:00:00,2022-04-28 00:00:00,"32,31,21,2,1"
996747,甜心女孩别爱我,正能量主播孟轩与甜心女孩董菲，以及魏小峰，韩雅两对年轻人一起智斗无良老板，帮助患病儿童，并且在经历大是大非的洗礼后，找到善良初心的甜美爱情。,1,1,爱情片;剧情片,内地,2019,普通话,孙皓,杨佳佳;张银龙,7.4,2019-05-30 00:00:00,2024-05-29 00:00:00,"32,31,21,2,1"
996507,女政委,"在国内战争的严峻年代，一支红军部队击溃了白匪军，来到南方边陲的小城镇别尔季切夫。女团政委瓦维洛娃戎马厮杀，执行军纪毫不留情。目前，瓦维洛娃怀孕已临近分娩，团长决定把她安排到这个小镇的洋铁匠叶菲姆夫妇家去待产。叶菲姆是信奉基督教的犹太人，家里人口多，有老母及6个孩子。叶菲姆对于镇长把瓦维洛娃安置在他家不表欢迎。他对政治不感兴趣，他认为红军和白匪都不会给他这个犹太人带来好处，瓦维洛娃分娩时，玛丽娅为她接生，并让她同意按基督教的仪式为孩子祝福。瓦维洛娃成了一个会哼摇篮曲的妈妈了,并觉得自己也是叶菲姆家中的一员，常常帮着玛丽娅做家务事。团长来看她,通知她：白匪开始进攻，红军即将转移，但一个月后会回来。团长希望她和野战医院一起乘马车撤退，她没有表态。团长派人给她送来了一些食品，同意她留下。但当红军开始撤退时，瓦维洛娃心情矛盾地思考再三，哭泣着给孩子喂了最后一次奶，把他留放在叶菲姆家的床上，大踏步地走出院子，去追赶离去不久的红军队伍了。 ",1,1,战争片;剧情片,其他,1967,俄语,亚历山大·阿斯柯尔道夫,罗兰·贝科夫;诺娜·穆迪乌科娃,7.1,2020-08-04 00:00:00,2050-08-03 00:00:00,"32,2,1"
996513,沙漠追匪记,1951年，大漠如烟。人民解放军剿匪部队与残存的国民党兵匪在沙漠中摆下别样的战场，颗颗子弹带看仇恨射向面目狰狞的敌人。通过激烈的战斗，除了匪首金冶中（程之 饰）及两个匪兵逃脱外其他敌人全部被歼灭，打扫完战场，负伤的班长钟永胜（冯喆 饰）带着战士李玉根（于明德 饰）和小姜（牛犇 饰）继续沿着敌人马蹄留下的痕迹追击。天公不作美，陡然的狂风吹消了沙漠上一切痕迹，敌人朝哪个方向逃走了呢？诸葛亮会后，他们兵分三路追击。小姜最先追上匪首并毙敌军马和一个匪兵，而自已也负伤，幸亏钟永胜和李玉根及时赶到，继续追击未路之敌。他们在水站旁击毙了另一名匪徒，金冶中又逃脱了。钟永胜的伤势由于得不到治疔，在干旱的沙漠里急剧恶化，不幸牺牲。李玉根和小姜泪目相望，发誓要给班长报仇。,1,1,动作片,内地,1959,普通话,葛鑫,牛犇;程之;于明德,7.0,2020-08-11 00:00:00,2050-08-11 00:00:00,"32,2,1"
9643764,血染雪山堡,在二次世界大战时期，英国军官率领一支突击队去拯救被德军俘虏的美国将军。　　他们的目的地是阿尔卑斯山上地势凶险的城堡，六名队员穿着德军制服越过种种关卡，但其中一名成员突然神秘死亡，揭露出队伍中有内奸，于是队长策划了一个危险的计划来救人除凶。,1,1,战争片;动作片;剧情片,英国,1968,英语,布莱恩·G·赫顿,安东·罗杰斯;理查德·伯顿;克林特·伊斯特伍德;彼得·巴克沃斯;迈克尔·霍登;Patrick Wymark;玛丽·乌尔;唐纳德·休斯敦;帕特里克 怀马克,7.1,2020-05-14 00:00:00,2050-05-13 00:00:00,"32,31,21,2,1"
9643014,白昼美人,  美丽的中产阶级女子塞芙丽娜拥有一个幸福美满的家庭。身为外科医生的丈夫皮埃尔英俊温柔，收入颇丰，但他却始终无法令妻子得到肉欲上的满足。碍于身份，塞芙丽娜只得通过幻想自己受人虐待和欺凌，并从中得到欢愉。 　　无可忍耐之下，她跑到妓院卖身，因为只能在丈夫出诊的这段时间出卖身体，因此她得到了“白日美人”的称号。从最初的抗拒到完全的解放，塞芙丽娜得到莫大的满足与快感。在此期间，她结识了职业杀手马塞尔，后者为白日美人的美艳与神秘所吸引，却也将彼此带入现实与虚幻交错的混乱之中。,1,1,剧情片,法国,1967,法语,路易斯·布努埃尔,让·索里尔;凯瑟琳·德纳芙,7.4,2020-05-12 00:00:00,2050-05-12 00:00:00,"32,31,21,2,1"
